Endpoint,readTimestamp,rssi,tagMac
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-62,0x5f8d53
eec50c22-5acd-11e9-ad32-001d054d25e2,2019-11-07T18-12-12.136-0500,-56,0x5f8d4f
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-64,0x5f8e59
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-62,0x5f8da2
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-64,0x5f8e56
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-62,0x5f8d9c
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-65,0x5f8d44
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-65,0x5f8d95
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-62,0x5f8d99
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-62,0x5f8da3
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-64,0x5f8da4
22cd0394-5ace-11e9-b0e9-001d054d25e2,2019-11-07T18-12-12.206-0500,-58,0x5f8d98
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-12.432-0500,-64,0x5f8da2
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-12.432-0500,-63,0x5f8e58
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-12.432-0500,-62,0x5f8d4c
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-12.432-0500,-60,0x5f8e39
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-12.432-0500,-64,0x5f8d97
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-12.432-0500,-63,0x5f8d96
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-12.432-0500,-65,0x5f8d98
6f770b36-6519-11e9-9b11-001d054d25e2,2019-11-07T18-12-12.432-0500,-65,0x5f8e57
2dd04da8-5ad0-11e9-9242-001d054d25e2,2019-11-07T18-12-12.658-0500,-65,0x5f8d48
2dd04da8-5ad0-11e9-9242-001d054d25e2,2019-11-07T18-12-12.658-0500,-64,0x5f8d49
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-65,0x5f8d9e
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-58,0x5f8da1
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-63,0x5f8d55
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-61,0x5f8d9f
11d84850-5ace-11e9-ac13-001d054d25e2,2019-11-07T18-12-12.647-0500,-63,0x5f8d56
